,source,target,dagLevel
0,MV1_T1_MV_Type_ID_num,MV1_LmvPF,2.0
1,MV1_T1_MV_Type_ID_num,MV1_DmvMax,2.0
2,MV1_T1_MV_Type_ID_num,MV1_DmvMin,2.0
3,MV1_T1_MV_Type_ID_num,MV1_Emv,2.0
4,MV1_T1_MV_Type_ID_num,MV1_AleakMV_raw,2.0
5,MV1_T1_MV_Type_ID_num,MV1_T1_MV_Supplier_ID_num,2.0
6,MV1_T1_MV_Supplier_ID_num,MV1_LmvPF,2.0
7,MV1_T1_MV_Supplier_ID_num,MV1_DmvMax,2.0
8,MV1_T1_MV_Supplier_ID_num,MV1_DmvMin,2.0
9,MV1_T1_MV_Supplier_ID_num,MV1_Emv,2.0
10,MV1_T1_MV_Supplier_ID_num,MV1_AleakMV_raw,2.0
11,MV1_LmvPF,PF_M1_T1_Force,
12,MV1_DmvMax,PF_M1_T1_deltaD_max,
13,MV1_DmvMin,PF_M1_T1_deltaD_min,
14,MV1_Emv,PF_M1_T1_E_eff_inv,
15,MV1_AleakMV_raw,MV1_AleakMV,
16,MV1_AleakMV,PF_M1_T1_AleakBore,
17,MV1_AleakMV,HU_Ch1_T1_AleakMV,
18,MV2_T2_MV_Type_ID_num,MV2_LmvPF,2.0
19,MV2_T2_MV_Type_ID_num,MV2_DmvMax,2.0
20,MV2_T2_MV_Type_ID_num,MV2_DmvMin,2.0
21,MV2_T2_MV_Type_ID_num,MV2_Emv,2.0
22,MV2_T2_MV_Type_ID_num,MV2_AleakMV_raw,2.0
23,MV2_T2_MV_Type_ID_num,MV2_T2_MV_Supplier_ID_num,2.0
24,MV2_T2_MV_Supplier_ID_num,MV2_LmvPF,2.0
25,MV2_T2_MV_Supplier_ID_num,MV2_DmvMax,2.0
26,MV2_T2_MV_Supplier_ID_num,MV2_DmvMin,2.0
27,MV2_T2_MV_Supplier_ID_num,MV2_Emv,2.0
28,MV2_T2_MV_Supplier_ID_num,MV2_AleakMV_raw,2.0
29,MV2_LmvPF,PF_M1_T2_Force,
30,MV2_DmvMax,PF_M1_T2_deltaD_max,
31,MV2_DmvMin,PF_M1_T2_deltaD_min,
32,MV2_Emv,PF_M1_T2_E_eff_inv,
33,MV2_AleakMV_raw,MV2_AleakMV,
34,MV2_AleakMV,PF_M1_T2_AleakBore,
35,MV2_AleakMV,HU_Ch1_T2_AleakMV,
36,HU_HU_Block_Type_ID_num,HU_Ehu,2.0
37,HU_HU_Block_Type_ID_num,HU_Force_Lim_Deform,2.0
