MV1_AleakMV,MV2_AleakMV,HU_Ch1_AleakChamber,HU_Ch1_T2_AleakMV,HU_Ch1_T1_AleakMV,PF_M1_T1_s0_LTL_MpGood,PF_M1_T1_s0_UTL_MpGood,PF_M1_T1_s0_MpGood,PF_M1_T1_Force,PF_M1_T1_Force_LTL_MpGood,PF_M1_T1_Force_UTL_MpGood,PF_M1_T1_Force_MpGood,PF_M1_T1_sgrad_LTL_MpGood,PF_M1_T1_sgrad,PF_M1_T1_sgrad_UTL_MpGood,PF_M1_T1_sgrad_MpGood,PF_M1_T1_Fmax_LTL_MpGood,PF_M1_T1_Fmax,PF_M1_T1_Fmax_UTL_MpGood,PF_M1_T1_Fmax_MpGood,PF_M1_T1_smax,PF_M1_T1_smax_LTL_MpGood,PF_M1_T1_smax_UTL_MpGood,PF_M1_T1_smax_MpGood,PF_M1_T1_deltaD_max,PF_M1_T1_deltaD_min,PF_M1_T1_LeakTolMachine,PF_M1_T1_deltaD_Leak_min,PF_M1_T1_deltaD_Leak_max,PF_M1_T1_deltaD_Leak_min_ReLu,PF_M1_T1_deltaD_Leak_max_ReLu,PF_M1_T1_AleakPF_deltaD,PF_M1_T1_AleakPF,PF_M1_T1_deltaD_mean,PF_M1_T1_E_eff_inv,PF_M1_T1_E_eff,PF_M1_T1_KstiffPF,PF_M1_T1_Kstiff_inv,PF_M1_T1_Kstiff,PF_M1_T1_delta_sgrad,PF_M1_T1_delta_smax,PF_M1_T1_AleakBore,PF_M1_T2_s0_LTL_MpGood,PF_M1_T2_s0_UTL_MpGood,PF_M1_T2_s0_MpGood,PF_M1_T2_Force,PF_M1_T2_Force_LTL_MpGood,PF_M1_T2_Force_UTL_MpGood,PF_M1_T2_Force_MpGood,PF_M1_T2_sgrad_LTL_MpGood,PF_M1_T2_sgrad,PF_M1_T2_sgrad_UTL_MpGood,PF_M1_T2_sgrad_MpGood,PF_M1_T2_Fmax,PF_M1_T2_Fmax_LTL_MpGood,PF_M1_T2_Fmax_UTL_MpGood,PF_M1_T2_Fmax_MpGood,PF_M1_T2_smax_LTL_MpGood,PF_M1_T2_smax,PF_M1_T2_smax_UTL_MpGood,PF_M1_T2_smax_MpGood,PF_M1_T2_deltaD_max,PF_M1_T2_deltaD_min,PF_M1_T2_LeakTolMachine,PF_M1_T2_deltaD_Leak_min,PF_M1_T2_deltaD_Leak_max,PF_M1_T2_deltaD_Leak_min_ReLu,PF_M1_T2_deltaD_Leak_max_ReLu,PF_M1_T2_AleakPF_deltaD,PF_M1_T2_AleakPF,PF_M1_T2_deltaD_mean,PF_M1_T2_E_eff_inv,PF_M1_T2_E_eff,PF_M1_T2_KstiffPF,PF_M1_T2_Kstiff_inv,PF_M1_T2_Kstiff,PF_M1_T2_delta_sgrad,PF_M1_T2_delta_smax,PF_M1_T2_AleakBore,Sec_C2_Machine1_ProcessResult,MV1_AleakMV_raw,MV2_AleakMV_raw,HU_Ch1_T2_AleakPF,HU_Ch1_T1_AleakPF,PF_M1_T1_s0,PF_M1_T1_s0_LTL,PF_M1_T1_s0_UTL,MV1_LmvPF,PF_M1_T1_Force_LTL,PF_M1_T1_Force_UTL,PF_M1_T1_sgrad_LTL,PF_M1_T1_sgrad_UTL,PF_M1_T1_Fmax_LTL,PF_M1_T1_delta_Ftrigger_stop,PF_M1_T1_Fmax_UTL,PF_M1_T1_smax_LTL,PF_M1_T1_smax_UTL,MV1_DmvMax,HU_T1_DboreMin,MV1_DmvMin,HU_T1_DboreMax,PF_M1_KstiffMachine_REF,PF_M1_KstiffMachine,PF_M1_LeakTolMachine_REF,PF_M1_T1_beta_asym,PF_M1_T1_AleakPF_deltaD_REF,PF_M1_T1_AleakPF_REF,HU_Ehu,MV1_Emv,PF_M1_T1_KstiffPF_Ref,PF_M1_T1_KstiffPF_E_Ref,PF_M1_T1_KstiffPF_deltaD_Ref,PF_M1_T2_s0,PF_M1_T2_s0_LTL,PF_M1_T2_s0_UTL,MV2_LmvPF,PF_M1_T2_Force_LTL,PF_M1_T2_Force_UTL,PF_M1_T2_sgrad_LTL,PF_M1_T2_sgrad_UTL,PF_M1_T2_delta_Ftrigger_stop,PF_M1_T2_Fmax_LTL,PF_M1_T2_Fmax_UTL,PF_M1_T2_smax_LTL,PF_M1_T2_smax_UTL,MV2_DmvMax,HU_T2_DboreMin,HU_T2_DboreMax,MV2_DmvMin,PF_M1_T2_beta_asym,PF_M1_T2_AleakPF_deltaD_REF,PF_M1_T2_AleakPF_REF,MV2_Emv,PF_M1_T2_KstiffPF_E_Ref,PF_M1_T2_KstiffPF_Ref,PF_M1_T2_KstiffPF_deltaD_Ref,MV1_T1_MV_Type_ID_num,MV1_T1_MV_Supplier_ID_num,MV2_T2_MV_Type_ID_num,MV2_T2_MV_Supplier_ID_num,PSec_MVgeneration_pSection_ID_num,HU_HU_Block_Type_ID_num,HU_HU_Block_Supplier_ID_num,HU_Force_Lim_Deform,HU_Ch1_HU_Block_Type_ID_num,HU_Ch1_Vchamber,HU_Ch1_Vchamber_part_REF,HU_T1_BorePosition_ID_num,HU_T2_BorePosition_ID_num,PSec_HUgeneration_pSection_ID_num,PSec_C2_pSection_ID_num,product_type_ID_num,line_ID_num,batch_ID_num,HU_Block_Type_ID_num,T1_MV_Type_ID_num,T2_MV_Type_ID_num,partID
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,15586.7871111348,1.0,1.0,1.0,1.0,17.6067678995705,1.0,1.0,1.0,22374.7626174746,1.0,1.0,18.8928919831048,1.0,1.0,1.0,0.056578496020505575,0.029602164387765306,0.056592187135166554,0.026990022747401247,1.3691114660978332e-05,0.026990022747401247,1.3691114660978332e-05,1.36911146609783e-5,0.000684555733048917,0.0565784960205056,9.28074245939675e-6,107750.000000000,3483.61882640542,0.000476528750122559,2098.50927093655,7.42755218049551,1.2861240835342354,0.000684555733048917,1.0,1.0,1.0,14908.2831919327,1.0,1.0,1.0,1.0,17.5336344471421,1.0,1.0,21932.6840624134,1.0,1.0,1.0,1.0,18.8645542660905,1.0,1.0,0.055154995648990734,0.02828234588898315,0.056592187135166554,0.028309841246183402,0.0014371914861758192,0.028309841246183402,0.0014371914861758192,0.00143719148617582,0.0718595743087910,0.0551549956489907,9.50655127836018e-6,105190.617577197,3315.30745987712,0.000491102087070777,2036.23651034470,7.32148899020031,1.3309198189484526,0.0718595743087910,1.0,-0.26682530214543204,-0.35246809920344024,0.0,0.0,10.179215719075017,9,11,4.474309012509881,10000,19000,16.5000000000000,19.0000000000000,10000,6787.975506339716,25000,17.0000000000000,20.0000000000000,4.608889507162979,4.552311011142473,4.590133108389147,4.560530944001382,4500.143032661213,5277.854285790634,0.04825312008424058,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,10.212145456941778,9,11,4.496802595945424,10000,19000,16.5000000000000,19.0000000000000,7024.400870480785,10000,25000,17.0000000000000,20.0000000000000,4.6131022582310806,4.55794726258209,4.562031012507675,4.590313358396658,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,21015.63724606776,11,112.78266600891315,500000,1,1,-111,122,111,1,26,11,11,11,0
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,16048.9199046545,1.0,1.0,1.0,1.0,17.6946299236242,1.0,1.0,1.0,22593.5536887150,1.0,1.0,19.0041867329068,1.0,1.0,1.0,0.05796690157785189,0.035837501972559416,0.05456866024121074,0.01873115826865132,-0.0033982413366411557,0.01873115826865132,0.0,0,0,0.0579669015778519,9.28074245939675e-6,107750.000000000,3569.10494000774,0.000480278561393194,2082.12500074789,7.70795216372204,1.3095568092825283,0,1.0,1.0,1.0,17627.3353817185,1.0,1.0,1.0,1.0,18.0757344445862,1.0,1.0,24069.5951243042,1.0,1.0,1.0,1.0,19.3648065900158,1.0,1.0,0.06430078319188937,0.02691707701979773,0.05456866024121074,0.027651583221413006,-0.009732122950678629,0.027651583221413006,0.0,0,0,0.0643007831918894,9.50655127836018e-6,105190.617577197,3865.05091122989,0.000458825074175564,2179.47984162993,8.08786346403452,1.2890721454295835,0,1.0,-0.08760432534683231,-0.14323596238554862,0.0,0.0,9.98667775990218,9,11,4.496623151859376,10000,19000,16.5000000000000,19.0000000000000,10000,6544.633784060541,25000,17.0000000000000,20.0000000000000,4.608136551603528,4.550169650025676,4.596902370844068,4.561064868871509,4500.506757444105,4997.594405733474,0.049140967477971385,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,9.987870980551651,9,11,4.560699402562157,10000,19000,16.5000000000000,19.0000000000000,6442.259742585733,10000,25000,17.0000000000000,20.0000000000000,4.618959850888532,4.554659067696643,4.559961274472897,4.586878351492695,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,20858.648915218146,11,105.39232964687814,500000,1,1,-111,121,111,1,26,11,11,11,1
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,16468.6880607786,1.0,1.0,1.0,1.0,17.7988601374226,1.0,1.0,1.0,23534.4051746744,1.0,1.0,19.1352950440441,1.0,1.0,1.0,0.059607780662254584,0.03606134417075335,0.05724330012820122,0.021181955957447866,-0.002364480534053366,0.021181955957447866,0.0,0,0,0.0596077806622546,9.28074245939675e-6,107750.000000000,3670.13620934739,0.000461613014041272,2166.31674060773,7.60216073304153,1.3364349066215693,0,1.0,1.0,1.0,16869.0021960406,1.0,1.0,1.0,1.0,17.9263226040239,1.0,1.0,23820.6882457553,1.0,1.0,1.0,1.0,19.2411892689293,1.0,1.0,0.06182266085599153,0.01864228482664121,0.05724330012820122,0.03860101530156001,-0.004579360727790312,0.03860101530156001,0.0,0,0,0.0618226608559915,9.50655127836018e-6,105190.617577197,3716.09364326135,0.000458243347392814,2182.24662876073,7.73010803349035,1.3148666649053704,0,1.0,-0.1711360539661637,-0.16031280981068424,0.0,0.0,10.196699404381032,9,11,4.487214403333279,10000,19000,16.5000000000000,19.0000000000000,10000,7065.717113895775,25000,17.0000000000000,20.0000000000000,4.6111700002589835,4.551562219596729,4.596088991849104,4.560027647678351,4499.741302046783,5286.989346722095,0.048719606747841315,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,10.19621457053356,9,11,4.5394448621148955,10000,19000,16.5000000000000,19.0000000000000,6951.6860497147045,10000,25000,17.0000000000000,20.0000000000000,4.618210242026439,4.556387581170448,4.567875216382773,4.586517501209414,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,20907.48079809053,11,105.83050370980622,500000,1,1,-111,122,111,1,26,11,11,11,2
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,14854.4892526489,1.0,1.0,1.0,1.0,17.4409261748388,1.0,1.0,1.0,21399.1861979527,1.0,1.0,18.7493095218373,1.0,1.0,1.0,0.05392874954440785,0.03646375210690067,0.05434822723753421,0.017884475130633536,0.00041947769312635635,0.017884475130633536,0.00041947769312635635,0.000419477693126356,0.0209738846563178,0.0539287495444079,9.28074245939675e-6,107750.000000000,3320.47015051997,0.000501077210515102,1995.70042104292,7.44324603834386,1.3083833469984927,0.0209738846563178,1.0,1.0,1.0,14023.9477932454,1.0,1.0,1.0,1.0,17.2884921592949,1.0,1.0,20485.9668403357,1.0,1.0,1.0,1.0,18.5803469510231,1.0,1.0,0.05186802470401464,0.030192614665567774,0.05434822723753421,0.024155612571966432,0.0024802025335195696,0.024155612571966432,0.0024802025335195696,0.00248020253351957,0.124010126675978,0.0518680247040146,9.50655127836018e-6,105190.617577197,3117.73117207121,0.000520661102637489,1920.63512126092,7.30172412136175,1.291854791728236,0.124010126675978,1.0,-0.24200640384240302,-0.21930080692712162,0.0,0.0,9.997680136494917,9,11,4.47361023568386,10000,19000,16.5000000000000,19.0000000000000,10000,6544.696945303852,25000,17.0000000000000,20.0000000000000,4.607032896505972,4.553104146961564,4.593137151156748,4.556673399049847,4499.633623150074,5002.12492028255,0.0488886452325537,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,9.986768037933137,9,11,4.4981260471950435,10000,19000,16.5000000000000,19.0000000000000,6462.019047090233,10000,25000,17.0000000000000,20.0000000000000,4.609815196782299,4.5579471720782845,4.558000958905236,4.588193573570804,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,20829.905648201533,11,92.17092822854828,500000,1,1,-111,121,111,1,26,11,11,11,3
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,15666.1563818544,1.0,1.0,1.0,1.0,17.6280858795566,1.0,1.0,1.0,22723.8631497744,1.0,1.0,18.9595181395207,1.0,1.0,1.0,0.056598968063537924,0.03271292565557715,0.05527985486763884,0.022566929212061687,-0.0013191131958990854,0.022566929212061687,0.0,0,0,0.0565989680635379,9.28074245939675e-6,107750.000000000,3484.87931934069,0.000475603398710150,2102.59220752423,7.45087721993465,1.3314322599641732,0,1.0,1.0,1.0,15062.2903345564,1.0,1.0,1.0,1.0,17.6174964825206,1.0,1.0,22121.8658799193,1.0,1.0,1.0,1.0,18.9492812862579,1.0,1.0,0.05505371376476198,0.02633368802198799,0.05527985486763884,0.02894616684565085,0.00022614110287685896,0.02894616684565085,0.00022614110287685896,0.000226141102876859,0.0113070551438429,0.0550537137647620,9.50655127836018e-6,105190.617577197,3309.21951476203,0.000490835473918110,2037.34255802147,7.39310641465415,1.3317848037373867,0.0113070551438429,1.0,-0.20165275362130358,-0.012648974157763254,0.0,0.0,10.177208659621906,9,11,4.495465967762198,10000,19000,16.5000000000000,19.0000000000000,10000,7057.706767920025,25000,17.0000000000000,20.0000000000000,4.60813911621108,4.551540148147542,4.593179091388346,4.560466165732769,4500.066961600267,5300.838037460454,0.04692900382428919,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,10.224390067866405,9,11,4.551614139637858,10000,19000,16.5000000000000,19.0000000000000,7059.5755453629445,10000,25000,17.0000000000000,20.0000000000000,4.612038229216944,4.556984515452182,4.5637224115673165,4.5900560995893045,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,20882.740026393745,11,101.57571698302223,500000,1,1,-111,122,111,1,26,11,11,11,4
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,15549.6185265211,1.0,1.0,1.0,1.0,17.6298580461424,1.0,1.0,1.0,22010.8339985563,1.0,1.0,18.9200171433688,1.0,1.0,1.0,0.05592605977394438,0.030490658435718743,0.05536346714899192,0.02487280871327318,-0.0005625926249524585,0.02487280871327318,0.0,0,0,0.0559260597739444,9.28074245939675e-6,107750.000000000,3443.44739465286,0.000490084104018730,2040.46609918566,7.62062086340314,1.2901590972264212,0,1.0,1.0,1.0,15374.9421371040,1.0,1.0,1.0,1.0,17.6459186171539,1.0,1.0,21876.3031774805,1.0,1.0,1.0,1.0,18.9440938795172,1.0,1.0,0.056130506682467995,0.027341327690254325,0.05536346714899192,0.028022139458737598,-0.000767039533476073,0.028022139458737598,0.0,0,0,0.0561305066824680,9.50655127836018e-6,105190.617577197,3373.94437877131,0.000496066460362034,2015.85892194806,7.62699312422428,1.2981752623633056,0,1.0,-0.1279348153841438,-0.16696726679543702,0.0,0.0,10.00923718273924,9,11,4.515712524218383,10000,19000,16.5000000000000,19.0000000000000,10000,6461.215472035212,25000,17.0000000000000,20.0000000000000,4.611972913766056,4.556046853992112,4.593154405155239,4.562663746719521,4499.061182370538,5008.076512366193,0.04973638588716172,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,10.018925492929618,9,11,4.556963722888369,10000,19000,16.5000000000000,19.0000000000000,6501.3610403764915,10000,25000,17.0000000000000,20.0000000000000,4.615100570572672,4.558970063890204,4.562682964328092,4.590024292018346,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,20959.004904031695,11,87.65551123500285,500000,1,1,-111,121,111,1,26,11,11,11,5
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,13265.4956242191,1.0,1.0,1.0,1.0,17.1878995101805,1.0,1.0,1.0,20352.7602889398,1.0,1.0,18.5253658299433,1.0,1.0,1.0,0.048071417080908674,0.03494022043830203,0.05815814197782429,0.023217921539522263,0.010086724896915616,0.023217921539522263,0.010086724896915616,0.0100867248969156,0.504336244845781,0.0480714170809087,9.28074245939675e-6,107750.000000000,2959.82582312452,0.000526571754678064,1899.07641478298,6.98523530751923,1.337466319762727,0.504336244845781,1.0,1.0,1.0,15531.8359632389,1.0,1.0,1.0,1.0,17.6852142323446,1.0,1.0,22434.1500735164,1.0,1.0,1.0,1.0,18.9877777865001,1.0,1.0,0.057002640744765465,0.02723439771809666,0.05815814197782429,0.03092374425972763,0.0011555012330588255,0.03092374425972763,0.0011555012330588255,0.00115550123305883,0.0577750616529413,0.0570026407447655,9.50655127836018e-6,105190.617577197,3426.36741912742,0.000480568317227350,2080.86959575180,7.46410827230493,1.302563554155488,0.0577750616529413,1.0,-0.1528539919170297,-0.11294559175637159,0.0,0.0,10.202664202661309,9,11,4.481850087453946,10000,19000,16.5000000000000,19.0000000000000,10000,7087.264664720751,25000,17.0000000000000,20.0000000000000,4.606599037625975,4.558527620545067,4.594977030599662,4.5600368101613595,4500.722356977666,5299.0229062202225,0.04939658772424201,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,10.221105960039695,9,11,4.533032819695185,10000,19000,16.5000000000000,19.0000000000000,6902.314110277557,10000,25000,17.0000000000000,20.0000000000000,4.613107502565223,4.556104861820457,4.563262767974894,4.590497165692991,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,20980.87327215004,11,105.57564356492546,500000,1,1,-111,122,111,1,26,11,11,11,6
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,15749.8237203952,1.0,1.0,1.0,1.0,17.6210834517554,1.0,1.0,1.0,22214.2664809165,1.0,1.0,18.9150749836295,1.0,1.0,1.0,0.0572617108390725,0.03727551118593375,0.05271594785755895,0.015440436671625195,-0.004545762981513553,0.015440436671625195,0.0,0,0,0.0572617108390725,9.28074245939675e-6,107750.000000000,3525.68533880575,0.000483803421264929,2066.95520545400,7.61981860024672,1.2939915318741302,0,1.0,1.0,1.0,15537.6504281163,1.0,1.0,1.0,1.0,17.6717022752553,1.0,1.0,22087.2498564000,1.0,1.0,1.0,1.0,18.9827396703305,1.0,1.0,0.0565713309195468,0.025975608388121074,0.05271594785755895,0.026740339469437872,-0.0038553830619878562,0.026740339469437872,0.0,0,0,0.0565713309195468,9.50655127836018e-6,105190.617577197,3400.44184948064,0.000494250052311519,2023.26736299405,7.67948453689459,1.3110373950752132,0,1.0,-0.17201843433847983,-0.19702039339080077,0.0,0.0,10.001264851508699,9,11,4.467166580932059,10000,19000,16.5000000000000,19.0000000000000,10000,6464.442760521343,25000,17.0000000000000,20.0000000000000,4.610332562879291,4.553070852040219,4.5963615014420895,4.559085990256156,4498.286219281156,4995.738071916653,0.047466744326934686,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,9.992217738360726,9,11,4.569303377585896,10000,19000,16.5000000000000,19.0000000000000,6549.599428283677,10000,25000,17.0000000000000,20.0000000000000,4.614476984740915,4.5579056538213685,4.562729172523924,4.588704780912045,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,21024.344552448943,11,98.28182567048675,500000,1,1,-111,121,111,1,26,11,11,11,7
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,14282.7778223869,1.0,1.0,1.0,1.0,17.3887296230177,1.0,1.0,1.0,21304.4218273470,1.0,1.0,18.7141363022791,1.0,1.0,1.0,0.05161086501323098,0.031010735574322545,0.05764523332296018,0.02663449774863763,0.006034368309729199,0.02663449774863763,0.006034368309729199,0.00603436830972920,0.301718415486460,0.0516108650132310,9.28074245939675e-6,107750.000000000,3177.75468867179,0.000503447765903159,1986.30338185343,7.19063258557186,1.3254066792613548,0.301718415486460,1.0,1.0,1.0,16216.6053971843,1.0,1.0,1.0,1.0,17.8544212757868,1.0,1.0,23190.2504304385,1.0,1.0,1.0,1.0,19.1707676612407,1.0,1.0,0.05872308904067225,0.04044048225509478,0.05764523332296018,0.017204751067865398,-0.001077855717712073,0.017204751067865398,0.0,0,0,0.0587230890406722,9.50655127836018e-6,105190.617577197,3529.78171555946,0.000472063802373468,2118.35771980852,7.65527240538493,1.3163463854538444,0,1.0,-0.1111940351887611,-0.2160878946311657,0.0,0.0,10.198097037445859,9,11,4.494613090589646,10000,19000,16.5000000000000,19.0000000000000,10000,7021.644004960138,25000,17.0000000000000,20.0000000000000,4.608919169453267,4.557308304440036,4.588851025836524,4.5578402902622015,4498.7997816352645,5297.727946318543,0.04895199710393996,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,10.199148870401892,9,11,4.594223298766797,10000,19000,16.5000000000000,19.0000000000000,6973.645033254233,10000,25000,17.0000000000000,20.0000000000000,4.612782043470492,4.55405895442982,4.558680165950684,4.599120648205779,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,20917.592951104307,11,116.10899474309726,500000,1,1,-111,122,111,1,26,11,11,11,8
0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,14960.5924240255,1.0,1.0,1.0,1.0,17.4940868802572,1.0,1.0,1.0,21438.5814949667,1.0,1.0,18.7890458506085,1.0,1.0,1.0,0.054149180777027794,0.03281366487670123,0.051876400395541734,0.019062735518840503,-0.00227278038148606,0.019062735518840503,0.0,0,0,0.0541491807770278,9.28074245939675e-6,107750.000000000,3334.04241641414,0.000499837578479663,2000.64989719593,7.47786628984611,1.2949589703512479,0,1.0,1.0,1.0,15298.9681772089,1.0,1.0,1.0,1.0,17.5913981775856,1.0,1.0,21817.8792980041,1.0,1.0,1.0,1.0,18.8945375222726,1.0,1.0,0.056068415348189404,0.028878086304867878,0.051876400395541734,0.022998314090673856,-0.00419201495264767,0.022998314090673856,0.0,0,0,0.0560684153481894,9.50655127836018e-6,105190.617577197,3370.21213545762,0.000496618609611322,2013.61765476861,7.59775230465336,1.3031393446870572,0,1.0,-0.2193077422902035,-0.10718707259038192,0.0,0.0,10.016220590411114,9,11,4.487223182995993,10000,19000,16.5000000000000,19.0000000000000,10000,6477.98907094123,25000,17.0000000000000,20.0000000000000,4.611041849241702,4.556892668464674,4.592432328776296,4.559618663899594,4499.79234067355,5002.466656672624,0.04666358522354257,1.00000000000000,0.0100000000000000,0.500000000000000,215500,215500,3000.00000000000,105000.000000000,0.0500000000000000,9.993645872932191,9,11,4.539467416976572,10000,19000,16.5000000000000,19.0000000000000,6518.911120795216,10000,25000,17.0000000000000,20.0000000000000,4.6117339556266765,4.555665540278487,4.564200269370487,4.593078355675355,1.00000000000000,0.0100000000000000,0.500000000000000,205500,105000.000000000,3000.00000000000,0.0500000000000000,11,21,11,22,-121,11,12,21109.573547644948,11,100.11510271074069,500000,1,1,-111,121,111,1,26,11,11,11,9
