MV1_T1_MV_Type_ID_num,MV1_T1_MV_Supplier_ID_num,MV2_T2_MV_Type_ID_num,MV2_T2_MV_Supplier_ID_num,PSec_MVgeneration_pSection_ID_num,HU_HU_Block_Type_ID_num,HU_HU_Block_Supplier_ID_num,PSec_HUgeneration_pSection_ID_num,PF_M1_T1_s0,PF_M1_T1_s0_LTL,PF_M1_T1_s0_UTL,PF_M1_T1_Force,PF_M1_T1_Force_LTL,PF_M1_T1_Force_UTL,PF_M1_T1_Force_MpGood,PF_M1_T1_sgrad,PF_M1_T1_sgrad_LTL,PF_M1_T1_sgrad_UTL,PF_M1_T1_sgrad_MpGood,PF_M1_T1_Fmax_LTL,PF_M1_T1_Fmax,PF_M1_T1_Fmax_UTL,PF_M1_T1_Fmax_MpGood,PF_M1_T1_smax,PF_M1_T1_smax_LTL,PF_M1_T1_smax_UTL,PF_M1_T1_smax_MpGood,PSec_C2_pSection_ID_num,PF_M1_T2_s0,PF_M1_T2_s0_LTL,PF_M1_T2_s0_UTL,PF_M1_T2_s0_MpGood,PF_M1_T2_Force,PF_M1_T2_Force_LTL,PF_M1_T2_Force_UTL,PF_M1_T2_Force_MpGood,PF_M1_T2_sgrad_LTL,PF_M1_T2_sgrad,PF_M1_T2_sgrad_UTL,PF_M1_T2_sgrad_MpGood,PF_M1_T2_Fmax,PF_M1_T2_Fmax_LTL,PF_M1_T2_Fmax_UTL,PF_M1_T2_Fmax_MpGood,PF_M1_T2_smax,PF_M1_T2_smax_LTL,PF_M1_T2_smax_UTL,PF_M1_T2_smax_MpGood,Sec_C2_Machine1_ProcessResult,product_type_ID_num,line_ID_num,batch_ID_num
92.0,24.0,92.0,24.0,-721.0,921.0,13.0,-711.0,14.496687088378543,12.0,17.0,23663.390319064267,15000.0,28000.0,1.0,21.51520032853559,19.5,25.0,1.0,15000.0,28158.783967490766,28000.0,0.0,22.078034018278615,20.0,26.0,1.0,721.0,15.240766093454257,12.0,17.0,1.0,19564.207044829735,15000.0,28000.0,1.0,19.5,21.71214077942724,25.0,1.0,24117.097676172263,15000.0,28000.0,1.0,22.28217322451287,20.0,26.0,1.0,0.0,92122.0,7.0,20.0
11.0,21.0,11.0,22.0,-121.0,21.0,13.0,-111.0,10.00684417186783,9.0,11.0,11956.207911878504,15000.0,19000.0,0.0,16.892193810418725,16.5,19.0,1.0,10000.0,18571.689668641513,25000.0,1.0,18.214882695903615,17.0,20.0,1.0,121.0,10.002058994746035,9.0,11.0,1.0,13332.521607613928,10000.0,19000.0,1.0,16.5,17.228227896733635,19.0,1.0,19812.2914302095,10000.0,25000.0,1.0,18.523782754259425,17.0,20.0,1.0,0.0,211.0,1.0,59.0
81.0,23.0,81.0,23.0,-721.0,912.0,12.0,-711.0,15.068963338805432,12.0,17.0,17544.549890943792,15000.0,23000.0,1.0,21.683840848964053,20.0,24.0,1.0,12500.0,21547.74547890696,26000.0,1.0,22.171627772733494,20.0,25.0,1.0,722.0,15.519180413932165,12.0,17.0,1.0,17584.463758907925,12500.0,23000.0,1.0,20.0,22.257898733053537,24.0,1.0,21462.191329930032,12500.0,26000.0,1.0,22.730397456016814,20.0,25.0,1.0,1.0,912.0,7.0,10.0
11.0,21.0,11.0,22.0,-121.0,21.0,13.0,-111.0,9.993194365798477,9.0,11.0,13478.802971863366,15000.0,19000.0,0.0,17.160763785268983,16.5,19.0,1.0,10000.0,19971.99996833053,25000.0,1.0,18.454505872746534,17.0,20.0,1.0,121.0,9.994065064324726,9.0,11.0,1.0,16021.573883586138,10000.0,19000.0,1.0,16.5,17.711665681736143,19.0,1.0,22716.51395910309,10000.0,25000.0,1.0,19.045604225961583,17.0,20.0,1.0,0.0,211.0,1.0,52.0
11.0,22.0,11.0,21.0,-121.0,21.0,13.0,-111.0,10.212317636747242,9.0,11.0,13145.80640133858,15000.0,19000.0,0.0,17.18216804136732,16.5,19.0,1.0,10000.0,20019.213045611265,25000.0,1.0,18.482056338530388,17.0,20.0,1.0,122.0,10.215098676119391,9.0,11.0,1.0,12358.643636219505,10000.0,19000.0,1.0,16.5,17.023786339255448,19.0,1.0,19534.753730119704,10000.0,25000.0,1.0,18.38092145623378,17.0,20.0,1.0,0.0,211.0,1.0,58.0
11.0,22.0,11.0,22.0,-121.0,11.0,12.0,-111.0,10.005746220681816,9.0,11.0,15671.720558462583,15000.0,19000.0,1.0,17.701005668669858,16.5,19.0,1.0,10000.0,22162.101627643602,25000.0,1.0,19.002712022396693,17.0,20.0,1.0,121.0,9.992094700413332,9.0,11.0,1.0,15191.703787935448,10000.0,19000.0,1.0,16.5,17.60954833220733,19.0,1.0,21640.433115196403,10000.0,25000.0,1.0,18.902901041283222,17.0,20.0,1.0,1.0,111.0,1.0,42.0
92.0,24.0,92.0,24.0,-721.0,921.0,13.0,-711.0,15.232808814706335,12.0,17.0,22951.627578862113,15000.0,28000.0,1.0,22.12015558948829,19.5,25.0,1.0,15000.0,27432.870713386765,28000.0,1.0,22.67769825369912,20.0,26.0,1.0,721.0,15.632324376057364,12.0,17.0,1.0,21820.49436517696,15000.0,28000.0,1.0,19.5,22.420117833002493,25.0,1.0,26301.019712192523,15000.0,28000.0,1.0,22.977571192270887,20.0,26.0,1.0,1.0,92122.0,7.0,22.0
11.0,22.0,11.0,21.0,-121.0,11.0,11.0,-111.0,10.006091446634565,9.0,11.0,15163.228277295384,15000.0,19000.0,1.0,17.587281962845864,16.5,19.0,1.0,10000.0,21539.199940173978,25000.0,1.0,18.863751699962997,17.0,20.0,1.0,121.0,10.004669568799514,9.0,11.0,1.0,13365.576635541098,10000.0,19000.0,1.0,16.5,17.186916225364218,19.0,1.0,19862.086194210042,10000.0,25000.0,1.0,18.48751765319258,17.0,20.0,1.0,1.0,111.0,1.0,39.0
11.0,22.0,11.0,22.0,-121.0,21.0,13.0,-111.0,10.178034348377182,9.0,11.0,13410.219577508027,15000.0,19000.0,0.0,17.23879679574451,16.5,19.0,1.0,10000.0,20469.525790955264,25000.0,1.0,18.56715042204299,17.0,20.0,1.0,122.0,10.210636344330961,9.0,11.0,1.0,13207.34963271556,10000.0,19000.0,1.0,16.5,17.24739103134153,19.0,1.0,20118.141082988153,10000.0,25000.0,1.0,18.54779855100334,17.0,20.0,1.0,0.0,211.0,1.0,41.0
91.0,24.0,91.0,21.0,-721.0,911.0,11.0,-711.0,15.104858570342818,12.0,17.0,27909.514261002936,15000.0,36000.0,1.0,23.634342035459284,20.0,25.0,1.0,18000.0,32345.878797206577,36000.0,1.0,24.188485451735524,20.0,26.0,1.0,721.0,14.801051174412287,12.0,17.0,1.0,23203.08477417324,18000.0,36000.0,1.0,20.0,22.74131518821704,25.0,1.0,27748.694999534946,18000.0,36000.0,1.0,23.30910441265658,20.0,26.0,1.0,1.0,91121.0,7.0,2.0
11.0,22.0,11.0,21.0,-121.0,11.0,11.0,-111.0,10.207225129637681,9.0,11.0,15775.562949528703,15000.0,19000.0,1.0,17.666923540114382,16.5,19.0,1.0,10000.0,22807.85723767738,25000.0,1.0,18.987914676377127,17.0,20.0,1.0,122.0,10.222269469143011,9.0,11.0,1.0,14583.900169905655,10000.0,19000.0,1.0,16.5,17.459583110510486,19.0,1.0,21580.23396900028,10000.0,25000.0,1.0,18.773819198513074,17.0,20.0,1.0,1.0,111.0,1.0,26.0
11.0,22.0,11.0,22.0,-121.0,21.0,13.0,-111.0,10.192122382033768,9.0,11.0,11496.173725050505,15000.0,19000.0,0.0,16.85786429473873,16.5,19.0,1.0,10000.0,18521.576494776906,25000.0,1.0,18.1787941004065,17.0,20.0,1.0,122.0,10.17264046301155,9.0,11.0,1.0,13006.6199368086,10000.0,19000.0,1.0,16.5,17.12368205154322,19.0,1.0,20017.009839378832,10000.0,25000.0,1.0,18.441789108915252,17.0,20.0,1.0,0.0,211.0,1.0,13.0
11.0,22.0,11.0,22.0,-121.0,21.0,12.0,-111.0,9.988526091455345,9.0,11.0,16309.536919193166,15000.0,19000.0,1.0,17.797100768151427,16.5,19.0,1.0,10000.0,22902.557864152863,25000.0,1.0,19.11501486546491,17.0,20.0,1.0,121.0,9.992378058388125,9.0,11.0,1.0,14357.286223088038,10000.0,19000.0,1.0,16.5,17.388812938905467,19.0,1.0,20855.971679844,10000.0,25000.0,1.0,18.687869812676272,17.0,20.0,1.0,1.0,211.0,1.0,23.0
81.0,21.0,81.0,21.0,-721.0,912.0,12.0,-711.0,15.188345123622133,12.0,17.0,15037.286636811692,15000.0,23000.0,1.0,21.513791331785995,20.0,24.0,1.0,12500.0,18932.658124765025,26000.0,1.0,21.987685301082323,20.0,25.0,1.0,722.0,15.184810430826001,12.0,17.0,1.0,15484.943845109174,12500.0,23000.0,1.0,20.0,21.52729525014555,24.0,1.0,19450.727092924444,12500.0,26000.0,1.0,22.00975520819784,20.0,25.0,1.0,1.0,912.0,7.0,6.0
81.0,21.0,81.0,21.0,-721.0,912.0,12.0,-711.0,15.364015058405085,12.0,17.0,14360.429356060702,15000.0,23000.0,0.0,21.548443813043182,20.0,24.0,1.0,12500.0,18318.43136932521,26000.0,1.0,22.032487890647413,20.0,25.0,1.0,722.0,15.205689755894955,12.0,17.0,1.0,15712.04838118477,12500.0,23000.0,1.0,20.0,21.66941196618277,24.0,1.0,19609.84445694645,12500.0,26000.0,1.0,22.14609315529246,20.0,25.0,1.0,0.0,912.0,7.0,6.0
11.0,22.0,11.0,22.0,-121.0,21.0,13.0,-111.0,10.207276816324955,9.0,11.0,14587.624512170814,15000.0,19000.0,0.0,17.452979127423774,16.5,19.0,1.0,10000.0,21508.364513126726,25000.0,1.0,18.76265977371107,17.0,20.0,1.0,122.0,10.186425444404806,9.0,11.0,1.0,15672.545669606854,10000.0,19000.0,1.0,16.5,17.713802895714508,19.0,1.0,22716.032865624427,10000.0,25000.0,1.0,19.046712217798916,17.0,20.0,1.0,0.0,211.0,1.0,47.0
11.0,21.0,11.0,21.0,-121.0,11.0,11.0,-111.0,10.008801998945614,9.0,11.0,15808.392662085666,15000.0,19000.0,1.0,17.643579651254118,16.5,19.0,1.0,10000.0,22392.797028769237,25000.0,1.0,18.96047551228794,17.0,20.0,1.0,121.0,9.98508847855573,9.0,11.0,1.0,13606.655936083494,10000.0,19000.0,1.0,16.5,17.175409708150326,19.0,1.0,20146.91386091186,10000.0,25000.0,1.0,18.483476180325123,17.0,20.0,1.0,1.0,111.0,1.0,56.0
91.0,24.0,91.0,21.0,-721.0,911.0,12.0,-711.0,14.76619814588619,12.0,17.0,26064.504518567803,15000.0,36000.0,1.0,23.074551682302797,20.0,25.0,1.0,18000.0,30554.866573492603,36000.0,1.0,23.63650059848275,20.0,26.0,1.0,721.0,15.512870190815743,12.0,17.0,1.0,23634.589206077897,18000.0,36000.0,1.0,20.0,23.41992471806118,25.0,1.0,28100.509696370864,18000.0,36000.0,1.0,23.978814880718232,20.0,26.0,1.0,1.0,91121.0,7.0,14.0
91.0,24.0,91.0,24.0,-721.0,911.0,12.0,-711.0,15.088912017642974,12.0,17.0,28608.22158447157,15000.0,36000.0,1.0,23.60889540708765,20.0,25.0,1.0,18000.0,32547.15320302896,36000.0,1.0,24.088993880905484,20.0,26.0,1.0,722.0,14.967808654078281,12.0,17.0,1.0,28527.937130022932,18000.0,36000.0,1.0,20.0,23.458190498545527,25.0,1.0,32565.515022226366,18000.0,36000.0,1.0,23.95031251834272,20.0,26.0,1.0,1.0,91121.0,7.0,8.0
11.0,22.0,11.0,22.0,-121.0,11.0,12.0,-111.0,10.224511432401584,9.0,11.0,17014.656062575075,15000.0,19000.0,1.0,17.957751304430378,16.5,19.0,1.0,10000.0,24150.483126591127,25000.0,1.0,19.304488832619544,17.0,20.0,1.0,122.0,10.237691250648599,9.0,11.0,1.0,15625.099183718448,10000.0,19000.0,1.0,16.5,17.701028257663847,19.0,1.0,22707.56459125086,10000.0,25000.0,1.0,19.037694893620316,17.0,20.0,1.0,1.0,111.0,1.0,40.0
11.0,22.0,11.0,22.0,-121.0,21.0,13.0,-111.0,10.014384768200541,9.0,11.0,16549.769795288452,15000.0,19000.0,1.0,17.874429375927296,16.5,19.0,1.0,10000.0,23047.59854142783,25000.0,1.0,19.178468123708114,17.0,20.0,1.0,121.0,10.016457528751934,9.0,11.0,1.0,15307.042251244324,10000.0,19000.0,1.0,16.5,17.59052935852879,19.0,1.0,21805.034354538653,10000.0,25000.0,1.0,18.894600890192983,17.0,20.0,1.0,1.0,211.0,1.0,8.0
11.0,22.0,11.0,22.0,-121.0,11.0,11.0,-111.0,9.98886599948448,9.0,11.0,14889.220563224677,15000.0,19000.0,0.0,17.482537370807588,16.5,19.0,1.0,10000.0,21368.406432461023,25000.0,1.0,18.779730394320023,17.0,20.0,1.0,121.0,10.018703058775904,9.0,11.0,1.0,16858.498022781478,10000.0,19000.0,1.0,16.5,17.88982640259231,19.0,1.0,23277.812996196106,10000.0,25000.0,1.0,19.17503271821601,17.0,20.0,1.0,0.0,111.0,1.0,50.0
11.0,22.0,11.0,22.0,-121.0,11.0,11.0,-111.0,10.003525156988317,9.0,11.0,12026.894867703819,15000.0,19000.0,0.0,16.955176138758574,16.5,19.0,1.0,10000.0,18537.40603625274,25000.0,1.0,18.265986847763614,17.0,20.0,1.0,121.0,10.006945543062926,9.0,11.0,1.0,13604.373529962668,10000.0,19000.0,1.0,16.5,17.276537466544465,19.0,1.0,20144.316699433024,10000.0,25000.0,1.0,18.593273944048548,17.0,20.0,1.0,0.0,111.0,1.0,44.0
11.0,22.0,11.0,22.0,-121.0,11.0,12.0,-111.0,10.201161437379904,9.0,11.0,12600.136156715696,15000.0,19000.0,0.0,17.083403519635517,16.5,19.0,1.0,10000.0,19561.775659895673,25000.0,1.0,18.396687878194037,17.0,20.0,1.0,122.0,10.212606053821442,9.0,11.0,1.0,15859.397059501527,10000.0,19000.0,1.0,16.5,17.765687856417138,19.0,1.0,22900.783735523164,10000.0,25000.0,1.0,19.094016187689896,17.0,20.0,1.0,0.0,111.0,1.0,42.0
11.0,22.0,11.0,21.0,-121.0,11.0,11.0,-111.0,10.227224372070793,9.0,11.0,14185.036636336472,15000.0,19000.0,0.0,17.42975619982724,16.5,19.0,1.0,10000.0,21138.023325592345,25000.0,1.0,18.741814750584496,17.0,20.0,1.0,122.0,10.202466955100938,9.0,11.0,1.0,13481.860988658553,10000.0,19000.0,1.0,16.5,17.218275211512776,19.0,1.0,20473.086896764657,10000.0,25000.0,1.0,18.537549667651277,17.0,20.0,1.0,0.0,111.0,1.0,54.0
11.0,22.0,11.0,22.0,-121.0,21.0,13.0,-111.0,9.997080747661089,9.0,11.0,15702.146148037345,15000.0,19000.0,1.0,17.65092499187596,16.5,19.0,1.0,10000.0,22233.949384061583,25000.0,1.0,18.953757372086905,17.0,20.0,1.0,121.0,10.002112387389863,9.0,11.0,1.0,12755.89866147818,10000.0,19000.0,1.0,16.5,17.047108658637526,19.0,1.0,19312.170054771457,10000.0,25000.0,1.0,18.35482145340205,17.0,20.0,1.0,1.0,211.0,1.0,31.0
92.0,24.0,92.0,24.0,-721.0,921.0,13.0,-711.0,15.402544301468456,12.0,17.0,20078.62174854396,15000.0,28000.0,1.0,21.911619619421717,19.5,25.0,1.0,15000.0,24059.146397488847,28000.0,1.0,22.39552082106342,20.0,26.0,1.0,722.0,15.062908565748808,12.0,17.0,1.0,23596.37546729403,15000.0,28000.0,1.0,19.5,21.936271645260454,25.0,1.0,27581.788122746784,15000.0,28000.0,1.0,22.420767068124583,20.0,26.0,1.0,1.0,92122.0,7.0,25.0
91.0,24.0,91.0,21.0,-721.0,911.0,12.0,-711.0,15.59338403933942,12.0,17.0,26186.820016569796,15000.0,36000.0,1.0,23.882449823444723,20.0,25.0,1.0,18000.0,30591.226000428032,36000.0,1.0,24.43580843806544,20.0,26.0,1.0,721.0,14.533757874062836,12.0,17.0,1.0,23788.724239071234,18000.0,36000.0,1.0,20.0,22.457674260159912,25.0,1.0,28332.572036547594,18000.0,36000.0,1.0,23.02855199746975,20.0,26.0,1.0,1.0,91121.0,7.0,29.0
11.0,22.0,11.0,22.0,-121.0,11.0,11.0,-111.0,9.988752189639666,9.0,11.0,13265.649574458253,15000.0,19000.0,0.0,17.17197031739009,16.5,19.0,1.0,10000.0,19797.7706485142,25000.0,1.0,18.47979412152049,17.0,20.0,1.0,121.0,9.974576662813696,9.0,11.0,1.0,16291.806157461604,10000.0,19000.0,1.0,16.5,17.768714009165993,19.0,1.0,22741.00563004619,10000.0,25000.0,1.0,19.05993572600325,17.0,20.0,1.0,0.0,111.0,1.0,30.0
11.0,22.0,11.0,22.0,-121.0,11.0,11.0,-111.0,10.217275473902081,9.0,11.0,17206.018076640943,15000.0,19000.0,1.0,17.952192253208672,16.5,19.0,1.0,10000.0,24142.408551251556,25000.0,1.0,19.25788207512292,17.0,20.0,1.0,122.0,10.19292808046327,9.0,11.0,1.0,15879.808992583292,10000.0,19000.0,1.0,16.5,17.692131966091477,19.0,1.0,22757.170107369264,10000.0,25000.0,1.0,18.986710240205866,17.0,20.0,1.0,1.0,111.0,1.0,55.0
11.0,21.0,11.0,21.0,-121.0,21.0,12.0,-111.0,10.022522338692804,9.0,11.0,16804.694455945006,15000.0,19000.0,1.0,17.863834450876244,16.5,19.0,1.0,10000.0,23331.549496145315,25000.0,1.0,19.168588014152775,17.0,20.0,1.0,121.0,10.002453222153878,9.0,11.0,1.0,15428.702743657439,10000.0,19000.0,1.0,16.5,17.551632325736154,19.0,1.0,21897.726157141336,10000.0,25000.0,1.0,18.844825034579184,17.0,20.0,1.0,1.0,211.0,1.0,6.0
11.0,22.0,11.0,22.0,-121.0,11.0,11.0,-111.0,10.000008143137718,9.0,11.0,12977.8830684938,15000.0,19000.0,0.0,17.118088185693807,16.5,19.0,1.0,10000.0,19449.85081966628,25000.0,1.0,18.421403354746293,17.0,20.0,1.0,121.0,9.989204727143568,9.0,11.0,1.0,16132.365625029164,10000.0,19000.0,1.0,16.5,17.773199710083738,19.0,1.0,22582.465833680006,10000.0,25000.0,1.0,19.07211122618644,17.0,20.0,1.0,0.0,111.0,1.0,30.0
